county,prophappy,propfood,prophealthyfood,propfastfood,sentfood,sentfastfood,senthealthy,calories,propexercise,sentex,percentalc,sentalc
51043,.21908981,.055175193,.02335884,.0012082158,.37956205,0,.46551725,143.80656,.016109545,.34999999,.00886025,.31818181
51045,.23333333,.16111112,.016666668,,.20689656,,0,81.551727,.011111111,.5,.083333336,.26666668
51047,.15034483,.03586207,.0049042148,.0072030653,.23504274,.21276596,.15625,206.5983,.010114943,.18181819,.011034483,.19444445
51049,.19117647,.018382354,.0036764706,,.2,,0,105,.02757353,.46666667,.005514706,.33333334
51051,.30862534,.013477089,.0013477089,.0013477089,.1,1,0,250.39999,.0053908355,.5,,
51053,.13613102,.017911976,.0025588537,.0010235414,.2,.5,0,232.3,.0097236438,.15789473,.0030706243,.33333334
51057,.14485388,.03303685,.006988564,.002541296,.21153846,0,.18181819,293.60577,.01270648,.30000001,.003811944,.16666667
51059,.19031329,.057206813,.009626233,.009247141,.24029662,.15080526,.25597748,249.45093,.019220876,.28527823,.0078887278,.3438215
51061,.2034301,.060509317,.013141287,.0057168314,.29693252,.16883117,.23163842,205.28773,.014254956,.25520834,.022718836,.24183007
51063,.2647815,.043701798,.0089974292,,.58823532,,.71428573,230.63235,.03084833,.5,.029562982,.2173913
51065,.11809113,.01455918,.002965759,.0005392289,.18518518,.5,.36363637,276.46295,.038554866,.37762237,.0010784578,.25
51067,.22882843,.044537079,.011847301,.0024133392,.2955665,.090909094,.33333334,215.11633,.022158841,.20792079,.0074594119,.38235295
51069,.16754541,.045945268,.0066114319,.0046028956,.25865209,.2,.12658228,198.70073,.017742071,.1981132,.01439451,.40697673
51071,.23677582,.032745592,.0092359362,.0025188916,.35897437,0,.54545456,206.02563,.086481951,.45631069,.0050377832,.5
51073,.13068886,.040552504,.0069063217,.0033646184,.22707424,.31578946,.2820513,239.58952,.015937665,.22222222,.0088542588,.16
51075,.24572882,.055252634,.0065430752,.0010905125,.32236841,0,.5,198.5921,.045801528,.18253969,.0079970919,.54545456
51077,.23803009,.05745554,.020519836,,.21428572,,.06666667,177.58333,.051983584,.39473686,.008207934,.83333331
51079,.20448717,.044871796,.010256411,.0032051282,.22857143,0,.3125,260.42142,.01474359,.13043478,.0070512821,.27272728
51081,.18585859,.026262626,.0030303029,.0040404042,.26923078,0,0,222.53847,.005050505,0,.005050505,.40000001
51083,.19132927,.0587603,.029021855,.0017914725,.32926831,.40000001,.34567901,232.30183,.027588679,.29870129,.0025080617,.5714286
51085,.21414578,.039383132,.007786206,.0044205557,.25255102,.15909091,.29677418,229.86957,.017079419,.29117647,.005475461,.35779816
51087,.19575202,.064880736,.0097150374,.0086564561,.23,.17948718,.26889279,247.82729,.017500727,.30243903,.0090491557,.34150943
51089,.18882269,.015615369,.0030819806,.00041093075,.25,.5,.2,246.1842,.0106842,.28846154,.0018491885,.33333334
51091,.30208334,.010416667,,,0,,,385,.03125,0,,
51093,.14418076,.038198959,.0045513655,.0035760729,.19148937,.090909094,.14285715,217.21153,.011053316,.16176471,.0050390116,.16129032
