zipcode,prophappy,propfood,prophealthyfood,propfastfood,calories,senthealthy,sentfastfood,sentfood,propexercise,sentex
47453,.15151516,.030303031,0,0,256,,,0,.030303031,0
47454,.21291865,.02631579,.0071770335,.0035885167,238.34091,.16666667,0,.18181819,.034688994,.24137931
47456,.43333334,.0066666668,0,0,43,,,0,.0066666668,1
47459,.29411766,.11764706,0,0,22,,,.5,0,
47460,.26170799,.038567495,.011019284,0,154.92857,.5,,.5,.077134989,.42857143
47462,.23404256,.04255319,0,0,467,,,.5,.035460994,.40000001
47465,.30434781,.043478262,.043478262,0,149,1,,1,0,
47468,.42016807,.016806724,0,0,83,,,.5,.033613447,.5
47469,.37380192,.025559105,.0031948881,0,80.125,0,,.375,.063897766,.30000001
47470,.1826923,.028846154,0,0,82,,,.66666669,0,
47471,.30000001,.06666667,0,0,149,,,0,0,
47501,.21637426,.033625729,.0087719299,.0014619883,240.47826,.16666667,0,.086956523,.021929825,.13333334
47512,.2238806,.052238807,0,0,327.71429,,,.2857143,.037313432,.2
47513,.36065573,.032786883,0,0,122,,,.5,.032786883,1
47514,.40000001,,,,,,,,.2,0
47515,.16666667,.041666668,0,0,85,,,0,0,
47516,.25,,,,,,,,0,
47519,.2,.06666667,.06666667,0,22,0,,0,0,
47520,.10576923,.01923077,.009615385,.009615385,252,0,0,0,.009615385,0
47521,.41666666,,,,,,,,0,
47522,.5535714,.053571429,0,0,88.666664,,,1,0,
47523,.10909091,.031168832,.0051948051,0,247.58333,1,,.33333334,.0025974025,0
47524,.0045662099,,,,,,,,0,
47525,.33333334,,,,,,,,0,
47527,.2,.037500001,.0125,0,232,0,,0,.025,0
47528,.375,,,,,,,,0,
47529,.22077923,.012987013,0,0,250,,,1,.012987013,0
47531,0,,,,,,,,0,
47532,.38745388,.040590405,.0073800739,0,154.27272,0,,.27272728,.014760148,.25
47537,.10502283,.036529679,0,0,136.75,,,.125,.02739726,.16666667
47541,.21428572,,,,,,,,0,
47542,.23119266,.034862384,.0091743115,0,219.10527,.40000001,,.31578946,.011009174,0
47546,.33989638,.054922279,.013471503,.0031088083,312.20755,.30769232,.33333334,.43396226,.029015545,.2857143
47550,.2857143,,,,,,,,0,
47551,0,,,,,,,,0,
47552,.2,.22,0,0,256,,,0,.059999999,0
47553,.20873787,.029126214,.004854369,0,269.16666,0,,.33333334,.024271844,.2
47556,.14285715,,,,,,,,0,
47557,.0084985839,,,,,,,,0,
47558,.20535715,.017857144,.0089285718,0,97.5,0,,0,.0089285718,0
47561,.16129032,.12903225,.096774191,0,43.75,0,,0,0,
47562,.359375,.021875,.0125,0,110,0,,.14285715,.015625,.40000001
47564,.21348314,,,,,,,,.028089888,.2
47567,.46153846,.0060728746,0,0,117.33334,,,0,.016194332,.125
47568,.125,.125,0,0,208.5,,,1,0,
47574,.46153846,.07692308,0,0,1,,,1,.07692308,1
47575,.10810811,,,,,,,,0,
47576,.25,.1,0,0,426,,,0,.050000001,0
47577,.20547946,.01369863,0,0,43,,,0,.06849315,0
47578,.090909094,,,,,,,,0,
47579,.20746888,.019087138,.0066390042,0,297.13043,.25,,.17391305,.0066390042,.125
47580,.25,,,,,,,,.125,0
47581,.17509727,,,,,,,,.0077821012,1
47585,.40000001,,,,,,,,0,
47586,.4025501,.043715846,.0091074677,0,269.625,.2,,.125,.018214935,.2
47588,.11111111,,,,,,,,.11111111,0
47590,0,,,,,,,,0,
47591,.15694165,.019545846,.0028743893,.0028743893,302.48529,.40000001,0,.22058824,.02127048,.094594598
47597,.15000001,.050000001,0,0,1,,,1,0,
47598,.2038835,.009708738,0,0,521,,,0,.009708738,0
47601,.16666667,.032228362,.0055248621,.002762431,384.61429,.16666667,0,.2857143,.036832411,.25
47610,.21108179,.015831135,.0052770451,0,141,1,,.66666669,.018469658,.42857143
47611,.090909094,.030303031,0,.030303031,300,,0,0,0,
47612,.11320755,.018867925,.0094339624,0,192.5,0,,0,0,
47613,.32251522,.014198783,.0020283975,0,251.64285,0,,0,.0060851928,.66666669
47615,.13235295,.0073529412,0,0,256,,,0,.0073529412,0
47616,.10429448,,,,,,,,.0061349692,1
47619,.18518518,.043209877,0,0,126.71429,,,.42857143,0,
47620,.15244262,.022366097,.0058858152,.002354326,306.6842,.30000001,0,.2631579,.013537375,.34782609
47630,.18633315,.041689325,.0034439007,.0038064166,195.05894,.15789473,.2857143,.19130434,.018669566,.21359223
47631,.29935277,.032362461,.011326861,0,227.10001,.2857143,,.25,.004854369,.33333334
47633,.1492891,.04265403,.0047393367,0,130.83333,0,,.055555556,0,
47634,.16842106,.010526316,0,0,418,,,1,0,
47635,.2,.029032258,.012903226,0,159.11111,.25,,.22222222,.0032258064,0
47637,.14814815,.037037037,0,0,285.5,,,0,.018518519,0
47638,.26499999,.029999999,.0049999999,.0049999999,335.33334,0,0,.5,.0099999998,1
47639,.11741683,.034246575,.014677104,.0019569471,240.25714,.46666667,0,.37142858,.006849315,.2857143
47640,.2857143,.047619049,0,0,547,,,0,.047619049,0
47647,.18181819,.090909094,0,0,112,,,0,0,
47648,.20933735,.021084337,.0075301207,0,247.07143,0,,.071428575,.013554217,.44444445
47649,.28,.059999999,.039999999,0,351,.5,,.66666669,.039999999,1
47660,.15797101,.01594203,0,0,211.72728,,,.18181819,.014492754,.1
47665,.12,.015384615,.0061538462,0,210,0,,.2,.015384615,.40000001
47666,.048,.012,0,.0040000002,210.33333,,0,0,0,
47670,.12657343,.021678321,.0041958042,.0013986015,324.61292,.5,0,.19354838,.0062937061,.44444445
47708,.24466892,.044893377,.0084175086,.00056116725,225.90625,.46666667,0,.32499999,.017396184,.38709676
47710,.14225563,.046015039,.0045112781,.0045112781,223.56535,.26666668,.13333334,.16993465,.016541352,.29090908
47711,.1318408,.029850746,.0065581184,.0024875621,254.67046,.13793103,.090909094,.21212122,.014246947,.23809524
47712,.19424139,.048336565,.0079069072,.0058182902,233.04489,.28301886,.38461539,.27469134,.017753245,.18487395
47713,.17581758,.032703269,.0048004799,.0030003001,227.0789,.3125,.40000001,.33027524,.014401441,.14583333
47714,.13373974,.032470763,.0043543172,.0019905448,269.08463,.17142858,.125,.18007663,.0089574521,.19444445
47715,.19881485,.080541782,.0083444193,.017898174,374.33609,.26086956,.1891892,.34384385,.022009917,.26373628
47720,.19144014,.039329093,.0057836901,.001156738,253.29411,.30000001,0,.23529412,.020242915,.31428573
47722,.24456522,.025362318,.0018115942,0,203.07143,0,,.35714287,.014492754,.375
47725,.18816327,.024489796,.0024489795,.00081632653,190.31667,.33333334,.5,.26666668,.028163265,.20289855
47802,.15523529,.047751345,.0043410314,.0138913,264.92218,.36000001,.1125,.15272728,.018232333,.20952381
47803,.20588236,.044303797,.0063291141,.011169025,238.89915,.11764706,.26666668,.23529412,.035740878,.22916667
47804,.13178295,.034237728,.0090439273,.0051679588,265.71698,.2857143,0,.11320755,.012273902,.10526316
47805,.17251185,.027488152,.0037914691,.0037914691,289.24139,0,.5,.20689656,.015165877,.1875
47807,.18023372,.034561299,.0043572984,.0018815607,202.11203,.25,.36842105,.19770774,.01604278,.20987654
47809,.23125,.1,0,0,231.8125,,,.25,.018750001,0
47832,.16666667,,,,,,,,0,
47833,.23529412,,,,,,,,.17647059,.33333334
47834,.17845659,.045819934,.012057878,.0024115755,345.79825,.26666668,0,.21052632,.016881028,.2857143
47836,.17283951,.024691358,0,0,261,,,0,0,
47837,.25,,,,,,,,0,
47838,.17391305,.028985508,.014492754,0,393,0,,.5,.014492754,1
47840,.30894309,.024390243,0,0,231.66667,,,.66666669,.008130081,0
47841,.39215687,.05882353,0,0,150.66667,,,.33333334,.019607844,0
47842,.18529862,.021439509,.0045941807,.0015313936,231.71428,.33333334,0,.21428572,.021439509,.2857143
47846,0,,,,,,,,.40000001,0
47847,.27777779,.055555556,.027777778,0,276.5,1,,1,0,
47848,.06666667,.053333335,.013333334,0,154,0,,0,0,
47849,0,,,,,,,,0,
47850,.12135922,.004854369,0,0,201,,,1,.009708738,0
47854,.125,,,,,,,,0,
47858,.2857143,,,,,,,,0,
47859,.28956228,.59932661,.5925926,0,193.53371,.23295455,,.23033708,.18518518,.4909091
47861,.090909094,.090909094,.090909094,0,86,0,,0,0,
47862,.13761468,.027522936,.018348623,0,59,0,,0,0,
47866,.1875,,,,,,,,0,
47868,.19642857,.017857144,0,0,379,,,0,0,
47872,.1941032,.036855038,.014742015,.0073710075,311.79999,.66666669,.66666669,.40000001,.017199017,.14285715
47874,.22666667,.06666667,.026666667,0,51.400002,0,,.2,0,
47879,.22123894,.026548672,.017699115,0,203,0,,0,.017699115,0
47882,.22706766,.027067669,.0060150377,0,239.38889,.25,,.27777779,.016541352,.27272728
47885,.1791411,.03190184,.0085889567,.0012269939,208.42308,.14285715,0,.23076923,.011042945,.33333334
47901,.19210841,.13870068,.013949781,.002391391,139.83649,.085714288,0,.19252874,.01155839,.20689656
47904,.199691,.05484743,.0069524911,.0019312475,198.58098,.33333334,0,.27464789,.010042488,.23076923
47905,.19273995,.06709373,.011238481,.014385255,267.75211,.25,.1953125,.21775544,.012587098,.1875
47906,.21062659,.059342366,.0074089756,.006209427,258.58237,.27619049,.20454545,.23900118,.020604009,.24657534
47907,.2263158,.025171624,.0036613273,.0032036614,245.52727,.125,.35714287,.23636363,.020594966,.22222222
47909,.2438551,.046571799,.0051746443,.0025873221,214.13889,0,.125,.19444445,.018758085,.25862068
47917,.21428572,,,,,,,,0,
47918,.17996289,.016697587,.0055658626,.0018552876,284.88889,0,0,0,.014842301,.25
47920,.3121019,.050955415,.0063694268,0,186.75,1,,.25,.019108281,.33333334
47921,0,,,,,,,,0,
47922,.22727273,.045454547,0,0,304,,,0,0,
47923,.25096524,.025096525,.0077220076,.0038610038,302,.25,0,.15384616,.027027028,.14285715
47926,.35294119,,,,,,,,0,
47928,.29680365,.018264839,0,0,256.5,,,0,.04109589,.33333334
47929,.11702128,.010638298,0,0,601,,,0,.031914894,.33333334
47930,.22580644,.048387095,0,0,296.33334,,,0,0,
47932,.22740525,.05102041,.0072886297,0,208.08824,.2,,.37142858,.011661808,.25
47933,.19570816,.044206008,.0072961375,.0034334764,269.38593,.35294119,.1875,.22815534,.022532189,.32380953
47940,.13934426,.016393442,0,0,198,,,0,.016393442,0
47942,.15584415,,,,,,,,0,
47943,.19677997,.13059033,.019677997,0,279.14383,.18181819,,.28767124,.019677997,.18181819
47944,.22131148,.040983606,0,0,58.599998,,,.2,.016393442,0
47946,.16853933,.02247191,0,0,420.66666,,,.33333334,.02247191,0
47948,.27272728,,,,,,,,.090909094,.40000001
47949,.21428572,,,,,,,,0,
47950,.2,,,,,,,,.1,0
47951,.14864865,.060810812,.0067567569,.0067567569,212.77777,0,0,.22222222,0,
47952,.19753087,.024691358,.012345679,0,219.5,0,,0,.037037037,0
47954,.10377359,.0094339624,.0094339624,0,189,0,,0,.018867925,0
47955,.31578946,.25,.013157895,0,172.36842,0,,.42105263,.013157895,1
47957,.25362319,.0072463769,0,0,1,,,0,.0072463769,0
47959,.13364056,.02764977,.0046082949,.0092165899,248.66667,1,0,.33333334,.013824885,0
47960,.17858692,.026441265,.0069354139,.00086692674,227.90164,.1875,0,.16393442,.018205462,.16666667
47963,.11111111,.016835017,.0033670033,0,238,1,,.40000001,.01010101,.33333334
47967,.3508772,.21052632,.03508772,0,356.83334,0,,.41666666,.01754386,0
47968,.2631579,.070175439,.01754386,0,316.5,0,,.5,.052631579,0
47970,.27027026,,,,,,,,0,
47971,.11904762,.015873017,0,.0079365084,839.5,,0,.5,.015873017,0
47974,.32307693,,,,,,,,.015384615,0
47975,.21212122,,,,,,,,0,
47977,.15409836,.016393442,.0032786885,0,291.79999,0,,.2,.013114754,.25
47978,.17001401,.028024288,.0028024288,.0032695003,250.90834,.5,0,.28333333,.01588043,.17647059
47980,.19444445,.013888889,.013888889,0,81,0,,0,.027777778,0
47981,.14285715,.028571429,0,0,1,,,0,0,
47987,.21694915,.013559322,0,0,193.75,,,0,.044067796,.69230771
47989,.22580644,.096774191,.064516127,0,288,0,,0,.032258064,0
47990,.094117649,.05882353,.023529412,0,205.2,0,,0,.023529412,.5
47991,.24096386,.012048192,.012048192,0,478,0,,0,0,
47992,.140625,.03125,0,0,284.875,,,.25,.0078125,0
47993,.25773194,.020618556,0,0,88,,,0,0,
47994,0,,,,,,,,0,
47995,.1840796,.019900497,.0099502485,0,170.5,0,,.25,0,
48001,.1519132,.026270702,.0057110223,.0017133066,298.97827,.5,.33333334,.23913044,.009708738,.11764706
48002,.12571429,.014285714,.0085714282,0,242.2,0,,0,0,
48003,.11444142,.029972753,.003633061,.00090826524,269.92426,0,0,.12121212,.012715713,.071428575
48005,.15395004,.057393651,.015530047,0,174.84706,.30434781,,.25882354,.010128291,.33333334
48006,.12307692,.03846154,.0076923077,.0076923077,301.39999,0,0,0,.0076923077,0
48009,.24750981,.1039843,.0197706,.0058859042,234.84738,.28244275,.12820514,.23076923,.023090854,.18954249
48014,.18969555,.025761124,.0023419203,.0023419203,239.22728,0,0,.27272728,.011709602,.60000002
48015,.12131148,.021857923,.0032786885,.00054644811,216.375,.16666667,0,.15000001,.007103825,.15384616
48017,.17095464,.084292486,.011171293,.0037237643,215.64256,.24242425,.18181819,.19277108,.014218009,.26190478
48021,.11024214,.024214167,.0040607611,.0019551811,277.37189,.18518518,0,.18012422,.0087231165,.068965517
48022,.18456376,.010067114,0,.0016778524,414.33334,,0,.5,.0067114094,.75
48023,.15526602,.018458197,.0032573289,.0010857764,223,0,0,.11764706,.017372422,.5
48025,.18628778,.040144339,.0063148397,.00090211997,233.7191,.35714287,0,.24719101,.031574201,.41428572
48026,.11709007,.025635105,.0030023095,.0018475751,318.90091,.15384616,0,.11711711,.014318706,.11290322
48027,.49410576,.0053890198,.0020208824,0,138.9375,0,,.0625,.0020208824,0
48028,.21965317,.03468208,.011560693,0,208.08333,0,,.33333334,.011560693,0
48030,.15371622,.036824323,.0054054055,.0037162162,286.08258,.4375,.090909094,.29357797,.010135135,.1
48032,.15957446,.031914894,0,0,414.66666,,,0,.021276595,1
48033,.14467473,.026882824,.0038990355,.003693823,248.83969,.21052632,.11111111,.16030534,.022573363,.081818178
48034,.14636914,.04897882,.0077534039,.017208776,290.51358,.24390244,.0989011,.18146718,.0081316186,.27906978
48035,.14069332,.031542785,.0068707056,.004216115,264.89603,.27272728,.14814815,.22277227,.010306058,.21212122
48036,.1440388,.019110097,.0037079293,.0014261267,224.67911,.30769232,.2,.17910448,.010838563,.31578946
48038,.16289777,.041164521,.0070412997,.0052809748,246.7877,.17307693,.1025641,.19736843,.018144889,.23880596
48039,.25939849,.10150376,0,.0056390977,187.71698,,.33333334,.46296296,.020676691,.090909094
48040,.13465346,.032673266,.0019801981,.004950495,222.90909,0,.2,.24242425,.016831683,.11764706
48041,.10736196,.0061349692,0,0,125,,,0,.0061349692,0
48042,.15243582,.02187009,.0034049239,.0019643793,243.24243,.15384616,.06666667,.14371258,.01231011,.18085106
48043,.21620227,.094427243,.0051599587,.0051599587,121.30328,.60000002,.30000001,.60109288,.019091846,.27027026
48044,.14771424,.026104674,.0034381766,.0040748757,283.29657,.18518518,.15625,.14634146,.010823889,.21176471
48045,.15554564,.026110243,.0026779736,.0020084803,206.62608,.41666666,.11111111,.23076923,.016067842,.19444445
48047,.14064875,.038393311,.0050684237,.0030410541,203.149,.22499999,.041666668,.18481848,.011784085,.16129032
48048,.12718023,.021802325,.0029069767,.0065406975,258.98334,0,.22222222,.23333333,.010901162,.13333334
48049,.10328639,.032863848,.0070422534,0,199.85715,1,,.35714287,.0070422534,0
48050,.090614885,.038834952,0,.0032362461,398,,0,.083333336,.0064724921,0
48051,.1407932,.041926347,.0036827195,.013597733,249.04054,.30769232,.25,.22972973,.01898017,.14925373
48054,.19187675,.011204482,.0014005603,.0014005603,215.125,1,1,.625,.012605042,.44444445
48059,.14538395,.03106126,.0060396893,.012510785,282.36111,.35714287,.13793103,.15277778,.010353753,.25
48060,.054008927,.026931873,.007295561,.00058074115,191.20203,.06467662,.25,.094339624,.012195565,.33035713
48062,.15194908,.025457438,.0015910899,.0039777248,251.96875,0,0,.0625,.019093079,.29166666
48063,.15220949,.02618658,0,0,149.375,,,.625,.022913257,.21428572
48064,.12681913,.018711019,.0041580042,.0020790021,263.88889,0,0,.11111111,.035343036,.05882353
48065,.1624161,.042953022,.0080536911,.0033557047,215.70313,.5,0,.34375,.016778523,.31999999
48066,.12641495,.029476563,.0034186735,.008888551,289.92078,.2888889,.1965812,.20618556,.010863785,.16783217
48067,.22700681,.13580129,.017646495,.011508583,224.64331,.36956522,.041666668,.26624295,.017071066,.31460676
48069,.23498695,.05221932,.0026109661,0,143.3,0,,.5,.028720627,.27272728
48070,.19094767,.027345592,.0061291843,.0023573786,245.3707,.38461539,0,.29310346,.01980198,.26190478
48071,.1514072,.044412777,.0047500296,.006887543,257.63977,.22499999,.086206898,.21122995,.0161501,.27941176
48072,.16374414,.073598422,.011607804,.0041985675,272.10269,.27659574,.23529412,.23154363,.0081501603,.33333334
48073,.16753927,.068331316,.010739696,.016378038,252.79881,.21250001,.12295082,.19449902,.020405423,.19736843
48074,.15249538,.034195933,.0046210722,.0018484289,300.75674,.2,0,.1891892,.020332716,.5
