zipcode,prophappy,propfood,prophealthyfood,propfastfood,calories,senthealthy,sentfastfood,sentfood,propexercise,sentex
00014,.29166666,.027777778,.027777778,0,596.5,0,,0,.041666668,0
00015,.18604651,,,,,,,,.23255815,.30000001
00016,0,,,,,,,,0,
00017,.079404466,.0024813896,0,0,86,,,0,.029776676,.16666667
00018,.027210884,,,,,,,,.0068027209,1
00019,0,,,,,,,,0,
00020,.26540285,.016587678,.0047393367,0,175.42857,.5,,.42857143,.13744076,.46551725
00022,.25,,,,,,,,0,
00026,.069620252,.0063291141,.0021097045,0,159.66667,0,,.66666669,.010548524,.60000002
00027,.20451128,.015037594,0,0,404,,,.2,.082706764,.41818181
00028,0,,,,,,,,0,
00031,.5,,,,,,,,0,
00032,.35555556,,,,,,,,0,
00033,0,,,,,,,,.11111111,0
00034,0,,,,,,,,.33333334,0
00035,.18181819,,,,,,,,.090909094,1
00037,0,,,,,,,,0,
00038,.085714288,,,,,,,,0,
00039,.14285715,.023809524,.023809524,0,89,0,,0,0,
00040,.18181819,.024793388,0,0,38,,,0,.05785124,.14285715
00041,.26086956,.0063241106,.0023715415,0,110.625,0,,0,.012648221,.125
00042,.21951219,,,,,,,,.024390243,0
00043,.14917128,.0055248621,0,0,229.25,,,.25,.012430939,.44444445
00044,.073170729,,,,,,,,0,
00045,.16666667,,,,,,,,.16666667,1
00047,0,,,,,,,,0,
00048,.05882353,.0065359478,.0065359478,0,18,1,,1,0,
00049,0,,,,,,,,0,
00050,0,,,,,,,,0,
00051,.34061137,.0087336246,0,0,98.5,,,.5,.074235804,.41176471
00052,0,,,,,,,,0,
00053,.19626169,.0093457941,0,0,210,,,0,.03271028,.14285715
00054,.2857143,,,,,,,,0,
00055,.13513513,,,,,,,,.054054055,.5
00056,.2857143,,,,,,,,.14285715,1
00057,.34782609,.086956523,.065217391,0,114,.33333334,,.375,.097826086,.66666669
00058,.28141594,.01238938,.0017699115,0,186.28572,0,,.2857143,.1522124,.3488372
00059,.079999998,,,,,,,,.12,.33333334
00060,.60000002,,,,,,,,0,
00061,.27272728,,,,,,,,.090909094,1
00064,0,,,,,,,,0,
00065,0,,,,,,,,0,
00066,.07692308,,,,,,,,0,
00067,.18954249,.013071896,0,0,72.5,,,1,.065359481,.40000001
00069,.22580644,,,,,,,,.096774191,.33333334
00070,.2962963,.024691358,.024691358,0,176.5,.5,,.5,.11111111,.11111111
00071,.22448979,.040816326,.010204081,0,148.5,0,,0,.05102041,.40000001
00072,.30578512,.022038568,.011019284,0,196.375,0,,.1875,.10881542,.2658228
00073,.17460318,.047619049,.015873017,.015873017,298.33334,0,0,.33333334,.031746034,1
00074,.12121212,.015151516,.015151516,0,86,0,,0,.030303031,.5
00076,.21428572,.071428575,0,0,491,,,0,.071428575,1
00077,.125,,,,,,,,.5,.5
00084,0,,,,,,,,0,
00087,0,,,,,,,,0,
00097,.095238097,,,,,,,,0,
00098,.33333334,,,,,,,,0,
00100,.5,,,,,,,,.1,1
00116,0,,,,,,,,0,
00125,0,,,,,,,,0,
00127,.11111111,,,,,,,,0,
00128,.16666667,,,,,,,,0,
00130,.15384616,.021978023,0,0,22,,,.5,.043956045,.5
00132,0,,,,,,,,0,
00133,.33333334,,,,,,,,.11111111,.5
00134,.052631579,.31578946,.052631579,0,215.33333,0,,.16666667,.052631579,0
00135,.25730994,.01754386,.0058479533,0,136,0,,.66666669,.14035088,.5
00137,0,,,,,,,,0,
00138,1,,,,,,,,0,
00139,.33333334,,,,,,,,.098039217,.60000002
00141,0,,,,,,,,0,
00148,0,,,,,,,,0,
00151,0,,,,,,,,0,
00152,.29620254,.017721519,.0075949365,0,146.42857,.33333334,,.42857143,.017721519,.42857143
00158,0,,,,,,,,0,
00160,.22222222,,,,,,,,0,
00161,.125,,,,,,,,.013888889,0
00164,0,,,,,,,,0,
00165,0,,,,,,,,0,
00166,.26086956,,,,,,,,.086956523,.5
00168,.31818181,,,,,,,,.13636364,0
00172,0,,,,,,,,0,
00174,.52631581,.052631579,0,0,43,,,1,.15789473,1
00176,.064604811,.0013745704,0,0,225.5,,,1,.026804123,.33333334
00177,.30232558,.023255814,0,0,245,,,.5,.1627907,.21428572
00179,.10344828,,,,,,,,.10344828,.33333334
00180,.25714287,.014285714,0,0,43,,,1,.071428575,.60000002
00181,.5,,,,,,,,0,
00182,.60000002,.1,0,0,290,,,1,.1,1
00183,.28767124,,,,,,,,.02739726,0
00184,.38461539,,,,,,,,.46153846,.33333334
00185,.071428575,,,,,,,,.14285715,0
00188,.52777779,.013888889,0,0,353.5,,,0,.048611112,.5714286
00195,.5,,,,,,,,0,
00197,.15068494,.01369863,.01369863,0,60,0,,0,.02739726,0
00199,.1641791,,,,,,,,.059701491,.5
00623,0,,,,,,,,0,
00653,0,,,,,,,,0,
00678,0,,,,,,,,0,
00682,0,,,,,,,,0,
00725,0,,,,,,,,0,
00745,0,,,,,,,,0,
00767,0,,,,,,,,0,
00772,0,,,,,,,,0,
00777,0,,,,,,,,0,
00778,.5,,,,,,,,0,
00791,0,,,,,,,,0,
00901,0,,,,,,,,0,
00907,0,,,,,,,,0,
00911,0,,,,,,,,0,
00920,0,,,,,,,,0,
00924,0,,,,,,,,0,
00926,0,,,,,,,,0,
00934,1,,,,,,,,0,
00949,0,,,,,,,,0,
00957,0,,,,,,,,0,
00961,1,,,,,,,,0,
00962,0,,,,,,,,0,
00969,0,,,,,,,,0,
00985,0,,,,,,,,0,
00987,0,,,,,,,,0,
01001,.23689164,.033073407,.0051089004,.00026888947,239.47968,.2631579,0,.16260162,.0088733528,.21212122
01002,.19124313,.058057673,.010512103,.0021217091,245.43011,.22018349,.090909094,.24418604,.019191822,.18592964
01003,.21472958,.029689299,.0066743381,.001150748,241.40475,.13793103,.2,.19379845,.014499425,.36507937
01005,.20190778,.063593008,.014308427,.0031796503,164.0625,.22222222,.5,.22499999,.11605723,.09589041
01007,.1886121,.052491102,.0071174377,.00088967971,222.81355,.375,1,.22033899,.024021352,.25925925
01008,.20588236,.029411765,0,.004901961,222.5,,0,.16666667,.024509804,.2
01010,.20704846,.033039648,.013215859,0,198.64285,.5,,.33333334,.011013215,0
01011,.28723404,.010638298,.010638298,0,93,0,,0,.063829787,.33333334
01012,.3125,,,,,,,,0,
01013,.1458149,.032737568,.0031852769,.001061759,219.67567,.33333334,0,.2054054,.010794549,.18032786
01020,.150143,.049571019,.0046075629,.015888147,257.72668,.31034482,.16,.22435898,.013346043,.20238096
01022,.27506426,.035989717,.0051413882,0,132.35715,.5,,.42857143,.0051413882,.5
01026,.16233766,.077922076,.025974026,0,100.41666,.5,,.41666666,.032467533,.2
01027,.22701022,.062638827,.011106175,.001332741,207.22694,.23999999,.33333334,.30496454,.028431809,.46875
01028,.19654992,.033455305,.0083638262,.0036591741,180.92188,.4375,0,.328125,.018295871,.2857143
01030,.20717672,.031144211,.0033852404,.0013540961,211.04347,0,0,.19565217,.015572106,.2173913
01031,.22877847,.026915114,.0093167704,0,173.92308,.44444445,,.30769232,.016563147,.25
01032,.4074074,.14814815,.037037037,0,301.25,0,,.25,0,
01033,.14627659,.039893616,.010638298,0,171.96666,.375,,.26666668,.023936171,.33333334
01034,.19318181,.051136363,.011363637,0,116.66666,0,,.22222222,.017045455,0
01035,.2194877,.071320944,.0090406835,.0085384231,208.02817,.27777779,.17647059,.34507042,.020592667,.34146342
01036,.16320474,.041543026,.002967359,.0059347181,155.28572,1,.5,.5,.03560831,.5
01038,.1025641,.027613413,.0059171598,0,313.5,0,,.14285715,.0059171598,.33333334
01039,.25345623,.059907835,.032258064,.0046082949,356.19232,.2857143,0,.15384616,.041474655,.77777779
01040,.14032397,.038148183,.0051758843,.0019169941,225.41833,.24074075,.1,.24623115,.021278635,.18018018
01050,.22110553,.045226131,.020100502,0,165.22223,.25,,.33333334,.020100502,.25
01053,.24666667,.026666667,.0066666668,0,93.25,0,,0,.033333335,.2
01054,.34615386,.01923077,.01923077,0,154,1,,1,.03846154,1
01056,.15004778,.04109589,.0041414462,.0015928639,216.33594,.07692308,0,.20930232,.014017203,.29545453
01057,.24437299,.075562701,.003215434,0,82.797874,.5,,.4893617,.020900322,.23076923
01060,.25355852,.11556092,.016887818,.0024125453,220.659,.21428572,0,.31106472,.015922798,.30303031
01062,.21573605,.052030455,.0038071065,.002538071,300.83749,.33333334,0,.41463414,.029187817,.26086956
01063,.18181819,.02020202,.012626262,0,112.125,.2,,.125,.012626262,.2
01066,0,,,,,,,,0,
01068,.17158931,.26300985,.21940929,0,154.00803,.23076923,,.22994652,.016877636,0
01069,.20168068,.035714287,.0042016809,0,207.11765,0,,.17647059,.018907564,.22222222
01070,.2173913,.043478262,.021739131,0,75,0,,0,.043478262,0
01071,.22051282,.041025642,.020512821,.0051282053,422.625,1,0,.5,.030769231,.33333334
01072,.32499999,.025,0,0,377,,,0,0,
01073,.19395018,.10142349,.028469751,0,151.05263,.125,,.24561404,.026690392,.66666669
01075,.147,.035399999,.0057999999,.0012000001,215.35228,.27586207,0,.23728813,.027799999,.28776979
01077,.22762816,.055603825,.0043440484,.0026064292,220.71875,.40000001,.33333334,.28125,.048653346,.3392857
01080,.22352941,.023529412,0,0,141,,,.5,.023529412,0
01081,.28947368,.052631579,0,0,43,,,0,.02631579,0
01082,.22623828,.053547524,.018741634,0,229.45,.35714287,,.32499999,.032128513,.16666667
01084,0,,,,,,,,0,
01085,.18101048,.037037037,.0069578248,.0028901733,233.27101,.12307692,.14814815,.20520231,.030400343,.14084508
01088,.21428572,.035714287,.017857144,0,241.5,0,,0,.017857144,0
01089,.20942594,.078844793,.013288448,.0063784551,228.54382,.23999999,.1388889,.29213482,.0095676826,.24074075
01092,.23076923,.0076923077,0,0,256,,,0,.015384615,.5
01095,.1850789,.05380201,.0050215209,.00071736012,206.94444,.42857143,0,.25333333,.016499283,.30434781
01096,.30344829,.055172414,.04137931,0,363.75,.33333334,,.25,.020689655,0
01098,.16129032,.16129032,0,0,534.40002,,,.2,.032258064,0
01103,.20633778,.047173209,.012603529,.00036010082,288.35495,.60000002,0,.34351146,.010803025,.33333334
01104,.11136312,.022907689,.0049897935,.0029485144,300.06931,.27272728,.15384616,.17821783,.017917896,.1392405
01105,.1670654,.080542266,.0039872406,.0071770335,302.5025,.5,.055555556,.22772278,.015151516,.23684211
01106,.1890332,.067099564,.012987013,.0086580086,229.01631,.16666667,.16666667,.21505377,.017316017,.083333336
01107,.11982083,.024636058,.0067189252,0,202.57143,0,,.045454547,.017917134,.1875
01108,.12871057,.02713358,.0062615955,.0018552876,291.91809,.11111111,.125,.17948718,.011131725,.16666667
01109,.14191569,.032041814,.0028405862,.0031814566,280.28571,.16,.10714286,.15602838,.023179185,.098039217
01118,.19396903,.041564792,.0032599836,.0057049715,158.92157,0,0,.23529412,.011409943,.35714287
01119,.16717948,.030085471,.0051282053,.0051282053,320.65115,.06666667,.13333334,.125,.032478634,.14736842
01128,.12322275,.037914693,0,0,165.75,,,.375,.0047393367,0
01129,.15268065,.025641026,.0034965035,.0046620048,248.86363,0,.25,.22727273,.01048951,0
01151,.12748171,.017763846,.0020898641,.0010449321,258.625,0,0,.17647059,.021943573,.095238097
01201,.17336269,.040176116,.0080719134,.0033021464,249.34404,.22727273,.055555556,.20091324,.0080719134,.25
01220,.14008859,.032668881,.0033222591,.0011074197,281.27118,.16666667,0,.28813559,.012735327,.56521738
01222,.23529412,.05882353,0,0,157,,,0,0,
01223,.22912621,.1262136,.0815534,0,207.75385,.19047619,,.24615385,.10485437,.24074075
01224,.13333334,,,,,,,,.26666668,.25
01225,.16602316,.03088803,.0038610038,0,409.875,1,,.625,.061776061,.25
01226,.22506393,.071611255,.028132992,.0025575447,190.46428,.54545456,0,.4642857,.010230179,.25
01230,.31541416,.083927594,.020296214,.00054854638,286.30066,.37837839,0,.37254903,.043335162,.4050633
01235,.26271185,.059322033,.025423728,.0084745763,254.28572,0,0,.2857143,.050847456,.5
01236,.30303031,.030303031,0,0,271,,,0,.030303031,1
01237,.2173913,.063043475,.0043478259,0,223.79311,0,,.034482758,.045652173,.14285715
01238,.1627409,.10349751,.014989293,.00071377587,166.6993,.42857143,0,.2,.0085653104,.41666666
01240,.28433478,.080472104,.01609442,0,269,.26666668,,.29333332,.038626611,.27777779
01243,.10810811,.027027028,0,0,43,,,0,0,
01245,.2037037,.018518519,0,0,1,,,0,.055555556,.33333334
01247,.18339416,.045620438,.0095802918,.0018248175,300.55234,.19047619,.25,.2,.010036496,.36363637
01253,.23809524,.026455026,.01058201,0,269.39999,0,,0,.026455026,.60000002
01254,.095238097,.071428575,0,0,250.16667,,,0,0,
01255,.24324325,.027027028,0,0,1,,,0,.054054055,.5
01256,.27777779,.027777778,0,0,39,,,1,.055555556,0
01257,.21582733,.035971224,.0071942448,0,358.46667,.33333334,,.40000001,.023980815,.2
01258,.1496063,,,,,,,,.11811024,.2
01259,.2,.40000001,.30000001,0,82.75,0,,0,0,
01262,.30599368,.059936907,.0031545742,.0031545742,130.52632,0,0,.31578946,.02208202,.2857143
01266,.28749999,.10795455,.017045455,0,141.02106,.33333334,,.2736842,.10681818,.53191489
01267,.2923077,.13712375,.018729096,0,110.7561,.39285713,,.62926829,.03277592,.2857143
01270,.29166666,,,,,,,,0,
01301,.22503516,.073136427,.01734646,.00093764649,240.22757,.32432431,.5,.30769232,.035630569,.35526314
01330,.5151515,.060606062,.060606062,0,456.5,0,,0,.030303031,1
01331,.23502769,.046300955,.0075490689,0,185.03261,.33333334,,.34782609,.014091595,.17857143
01337,.11016949,.046610169,.0084745763,0,234.63637,1,,.36363637,.0084745763,.5
01338,.25,,,,,,,,0,
01339,.15767635,.049792532,.012448133,.0041493778,162.58333,.33333334,0,.083333336,.033195022,.25
01340,.18181819,.15151516,.030303031,0,90.800003,1,,.60000002,.030303031,0
01341,.14606741,.029962547,.0037453184,0,158.59375,.5,,.1875,0,
01342,.1763285,.033816423,.0024154589,.0024154589,277.71429,0,0,.35714287,.026570048,.18181819
01343,0,,,,,,,,0,
01344,.140625,.0234375,.0078125,0,267.33334,0,,0,.0078125,0
01346,0,,,,,,,,0,
01349,.234375,.015625,0,0,290,,,0,0,
01350,0,,,,,,,,0,
01351,.22340426,.081560284,.014184397,0,283.3913,.5,,.43478259,.021276595,.16666667
01354,.14973262,.042780749,.0026737968,0,308.5625,0,,.1875,.021390375,.125
01355,.20930232,,,,,,,,0,
01360,.17073171,.048780486,.008130081,0,162,0,,.16666667,.065040648,.125
01364,.18000001,.045454547,.0072727273,0,221.96001,.5,,.2,.021818181,.33333334
01366,.17757009,.018691588,.0093457941,0,323.5,0,,0,.037383176,.25
01367,.1875,,,,,,,,0,
01368,.19672132,.032786883,.016393442,0,374,0,,0,.065573767,.5
01370,.2610063,.094339624,.025157232,0,185.95,.25,,.30000001,.050314464,.375
01373,.2132753,.021762786,.004352557,0,229.77499,0,,.34999999,.0304679,.25
01375,.20376176,.11285266,.056426331,0,165.90277,.22222222,,.3888889,.0094043883,.66666669
01376,.25622776,.10854092,.012455516,0,180.30508,.14285715,,.18032786,.023131672,.23076923
01378,.14583333,.041666668,0,0,43,,,1,.041666668,0
01379,0,.083333336,0,0,1,,,0,0,
01420,.19551195,.033861864,.0042999196,.0028218222,196.69048,.25,.14285715,.23015873,.017199678,.3359375
01430,.2027027,.043543544,.0090090092,0,313.44827,.33333334,,.31034482,.031531531,.33333334
01431,.17647059,.081447966,.022624435,0,277.38889,.40000001,,.3888889,.013574661,0
01432,.23550087,.04217926,.0087873461,0,260.45834,.40000001,,.25,.028119508,.3125
01434,.19678715,.036144577,.012048192,0,57.111111,.66666669,,.33333334,.060240965,0
01436,.16544656,.043923866,.0014641288,.0073206443,303.29999,1,0,.16666667,.013177159,.22222222
01440,.19700423,.058612831,.0097688045,.0016281342,280.94724,.23333333,0,.2,.020840118,.25
01450,.25521472,.088343561,.02208589,0,258.9155,.16666667,,.19444445,.036809817,.23333333
01451,.31122449,.054846939,.017857144,0,182.25581,.42857143,,.27906978,.045918368,.41666666
01452,.19364162,.037572253,.011560693,0,178.61539,0,,.38461539,.02601156,.11111111
01453,.19552971,.063601673,.0099945487,.01344721,259.30573,.2,.21621622,.30000001,.019262221,.2735849
01460,.23632038,.063441716,.0087232357,.00079302141,254.36874,.27272728,0,.40000001,.032513879,.34146342
01462,.18701871,.045104511,.0066006603,0,155.6875,.33333334,,.19512194,.05830583,.2264151
01463,.21378092,.033568904,.0035335689,0,158.3158,.5,,.42105263,.022968197,.23076923
01464,.24197531,.044444446,.012345679,.0024691359,192,0,0,.27777779,.01728395,.42857143
01468,.14395393,.015355086,.0057581575,0,122.875,0,,0,.011516315,.33333334
01469,.21958214,.015977059,.0012290045,.00081933633,177.25641,0,1,.38461539,.0040966817,.2
01473,.18529588,.032875076,.0017931859,0,194.04546,.66666669,,.34545454,.058577407,.2857143
01474,.17045455,.022727273,0,0,146.75,,,.5,.045454547,.25
01475,.13020833,.026785715,.0037202381,0,208.72223,.2,,.1388889,.020089285,.18518518
01501,.17324115,.054087028,.0069133793,.0089467261,185.64662,.23529412,.045454547,.12781955,.034160227,.15476191
01503,.22452505,.075993091,.015544041,.013816926,234.04546,.22222222,.125,.25,.015544041,.11111111
01504,.16791044,.048507463,.01119403,0,194.73077,.33333334,,.46153846,.037313432,.1
01505,.27977043,.034433287,.012912482,0,145.66042,.22222222,,.25,.05882353,.12195122
01506,.20052083,.0546875,.013020833,0,235.09525,.2,,.19047619,.010416667,0
01507,.14637306,.038860105,.0030224526,.0017271157,167.53334,0,.25,.14444445,.01986183,.17391305
01510,.16596815,.048616931,.009220453,.002514669,290.32455,.45454547,0,.18965517,.011735122,0
01515,.16666667,.048611112,0,0,208.85715,,,.2857143,.020833334,.33333334
01516,.16411683,.037552156,.0083449231,0,192.73077,0,,.2962963,.02225313,.4375
01518,.22005571,.16991644,.022284122,0,120.86885,.25,,.21311475,.016713092,.33333334
01519,.2488263,.082942098,.040688574,.0031298904,128.63208,.42307693,.5,.43396226,.017214397,.18181819
01520,.15759106,.047241256,.0057699243,.0028849621,175.64885,.0625,0,.13740458,.014785431,.21951219
01521,.26436782,.057471264,.011494253,0,437.60001,1,,.2,.034482758,.66666669
01522,.11832061,.041984733,.022900764,0,147.27272,.33333334,,.27272728,.072519086,.10526316
01523,.19488189,.041338582,.0029527559,.00098425196,242.46341,.66666669,0,.2857143,.019685039,.25
01524,.11146908,.033505153,.0045103091,.0012886598,239.38235,.2857143,1,.23076923,.016108247,.079999998
01527,.20625253,.1092164,.0089321965,.0040600891,300.41635,.27272728,.2,.32713756,.017864393,.31818181
01529,.34400001,.024,.0080000004,0,208.33333,0,,0,0,
01531,.22459893,.064171121,.01604278,0,220.91667,.33333334,,.33333334,.021390375,.5
01532,.25369978,.099365748,.0260747,.014799154,189.39362,.27027026,.2857143,.31914893,.021846371,.38709676
01534,.13031915,.026595745,.010638298,0,207.10001,0,,0,.082446806,.25806451
01535,.13025211,.029411765,.012605042,0,176.78572,.33333334,,.2857143,.021008404,.2
01536,.18502203,.044052862,.0096916296,.00088105729,281.64001,.090909094,1,.1,.014096917,.1875
01537,.16554055,.030405406,.010135135,0,134.44444,0,,.22222222,.013513514,0
01540,.19583568,.039392233,.0095666852,.0016882386,256.89285,.11764706,.66666669,.18571429,.057962857,.11650486
01541,.25181597,.02905569,.012106538,0,327.08334,.60000002,,.33333334,.075060531,.45161289
01542,.21834061,.034934498,0,0,293.5625,,,.25,.017467249,.25
01543,.21631205,.038120568,.011524823,0,203.91861,.38461539,,.37209302,.014184397,.375
01545,.1955836,.071503684,.0089379605,.0223449,251.73161,.20588236,.2,.20955883,.047318611,.27777779
01550,.16401063,.021912351,.0033200532,.0013280213,171.84848,0,0,.12121212,.0066401064,.2
01560,.29651162,.023255814,0,0,204.75,,,.25,.10465116,.72222221
01562,.1334608,.030975142,.0042065009,.002294455,208.85185,0,0,.14814815,.010325048,.22222222
01564,.21045198,.063559324,.015536723,.0028248588,267.61111,.18181819,0,.31111112,.01977401,.21428572
01566,.1884058,.060869563,.0057971017,.00072463771,287.49405,.25,0,.32142857,.01231884,.35294119
01568,.31502423,.18093699,.075928919,.0032310179,304.70535,.57446808,0,.5089286,.14054927,.85057473
01569,.15337424,.046625767,.0085889567,.0012269939,244.32237,.21428572,0,.21052632,.030674847,.30000001
01570,.19638243,.066814326,.0084902178,.0059062387,170.77222,.26086956,.3125,.37569061,.012919896,.31428573
01571,.13880919,.027977044,.0028694405,.0010760402,220.66026,.125,0,.21794872,.014347202,.1
01581,.2116451,.083641402,.013863216,.012014788,224.55249,.2,.03846154,.24861878,.022181146,.29166666
01583,.22162741,.043897215,.0042826552,.0042826552,211,.25,.25,.24390244,.036402568,.52941179
01585,.21635884,.044854883,.0052770451,0,289.41177,.5,,.35294119,.042216361,.375
01588,.18933333,.039999999,.010666667,.0013333333,257.66666,.25,0,.30000001,.071999997,.16666667
01590,.21361257,.049214661,.010471204,.0010471204,243.02174,.69999999,0,.40425533,.05235602,.30000001
01602,.17445396,.0088807102,.0016801344,.000400032,245.40227,.26190478,0,.22522523,.0037202977,.23655914
01603,.15868765,.041848008,.0080348179,.0050217612,249.5488,.16666667,.13333334,.152,.023769669,.22535211
01604,.1952596,.067014672,.0087471781,.0018340858,262.22968,.38709676,.07692308,.27578947,.014954853,.14150943
01605,.14509524,.025814492,.0023144027,.0056969915,240.00482,.23076923,.09375,.2,.02367812,.21804512
01606,.20255983,.04229271,.0066777961,.0047301059,259.29605,.33333334,.23529412,.27631578,.012242626,.11363637
01607,.13002232,.029575894,.0033482143,.0016741072,249.4151,0,.33333334,.16981132,.0078125,.071428575
01608,.1672506,.040936749,.004241195,.001659598,252.05856,.2173913,.33333334,.26126125,.019546377,.18867925
01609,.20878716,.029259738,.0042458926,.0013845302,235.77089,.28260869,.13333334,.25867507,.0061842347,.1641791
01610,.18281654,.027347114,.0043066321,.0019379845,243.4937,.25,0,.22047244,.011627907,.25925925
01611,.1125683,.024043716,.0043715849,.0043715849,327.72726,0,0,.13636364,.013114754,.25
01612,.16583748,.03233831,.0058043119,.004145937,201.08974,.2857143,0,.23076923,.019900497,.25
01701,.24647754,.056171332,.0099567911,.0093931993,239.86455,.35849056,.16,.28093645,.023858726,.33070865
01702,.16284792,.053667538,.0079963095,.0023066278,221.88937,.28846154,.13333334,.30372491,.02198985,.16083916
01718,.80000001,,,,,,,,0,
01719,.25032091,.10783055,.017971758,.0025673942,131.2619,.64285713,.5,.4642857,.0038510913,.33333334
01720,.29621848,.16036415,.024509804,.018907564,195.93668,.34285715,.037037037,.3973799,.018207284,.34615386
01721,.26843414,.15990058,.015741508,.0091135046,137.9375,.36842105,.18181819,.29533678,.025683513,.25806451
01730,.19302514,.10381184,.01459854,.01459854,264.20313,.3888889,.055555556,.21875,.01054339,.15384616
01731,.1238938,,,,,,,,.022123894,0
01740,.30956522,.13043478,.041739132,0,158.74667,.29166666,,.36000001,.076521739,.15909091
01741,.36138615,.17326732,.081683166,0,211.90715,.45454547,,.52857143,.024752475,.5
01742,.31098616,.11375432,.03935986,.0012975779,246.86882,.5714286,0,.53612167,.03849481,.40449437
01745,.3255814,.13953489,.023255814,0,248.5,1,,.33333334,.11627907,0
01746,.28211805,.13020833,.019965278,0,144.02684,.13043478,,.32666665,.017361112,.15000001
01747,.13333334,.05185185,.0049382718,.0074074073,163.7619,0,.33333334,.14285715,.024691358,.2
01748,.20363235,.048431482,.0044028619,.0049532196,204.67046,.5,0,.13636364,.03192075,.36206895
01749,.22683264,.098893501,.0086445371,.0020746889,207.38597,.23999999,0,.27972028,.023167359,.29850745
01752,.19424964,.10014025,.0096774194,.0081346426,165.15196,.31884059,.20689656,.16946779,.031697053,.30973452
01754,.21084337,.058734939,.0082831327,.00075301202,228.19872,0,0,.16666667,.014307229,.21052632
01756,.22701149,.04454023,.010057472,.0014367816,212.45161,.2857143,0,.16129032,.027298851,.31578946
01757,.15454072,.035596456,.0081611387,.0015627713,289.46097,.31914893,.22222222,.25853658,.016148636,.1827957
01760,.2726227,.097392641,.021472393,.0049846624,231.13339,.33035713,.11538462,.34055117,.026648773,.23741007
01770,.30434781,.10869565,.032608695,0,291.63333,.22222222,,.26666668,.047101449,.38461539
01772,.23277183,.056661561,.015313935,.010719755,336.31082,.60000002,.14285715,.32432431,.024502298,.1875
01773,.35441175,.032352943,.016176471,.0014705883,166.36363,.18181819,1,.31818181,.019117648,.46153846
01775,.19890261,.11796982,.056241427,.0013717421,185.86046,.29268292,0,.27906978,.030178327,.40909091
01776,.24260804,.055344958,.0090978015,.0015163003,202.17809,.41666666,0,.30136988,.054586809,.29166666
01778,.2728273,.064906493,.01210121,.01870187,193.61017,.36363637,.23529412,.35593221,.02090209,.21052632
01801,.18829878,.057086054,.011786425,.0053961943,252.38654,.28915662,.078947365,.27363184,.015478557,.28440368
01803,.24297908,.072687224,.010875551,.0094988989,234.82765,.29113925,.10144927,.2651515,.017070485,.29838711
01810,.19275597,.048592433,.00842747,.0043033888,205.57964,.34042552,.083333336,.26199263,.018827327,.31428573
01821,.17522757,.048764631,.015279584,.0035760729,277.47,.08510638,.090909094,.22,.01983095,.37704918
01824,.18603744,.055382214,.010140406,.0031201248,226.65141,.34615386,.125,.3028169,.047971919,.30081302
01826,.17676768,.040935673,.0069112172,.00079744816,242.83661,.38461539,.33333334,.2857143,.015151516,.28070176
01827,.21621622,.027027028,0,0,52,,,0,0,
01830,.18773006,.040490799,.0066257669,.0026993866,230.86667,.51851851,.18181819,.32121211,.021104295,.24418604
01832,.1642568,.060150377,.0095430883,.0023134761,201.91106,.24242425,0,.22596154,.01417004,.3877551
01833,.19107392,.032078102,.0041841003,.0013947001,211.28261,0,0,.17391305,.018131102,.07692308
01834,.10607118,.036287509,.0076762037,0,266.19608,.18181819,,.13461539,.013956734,.1
01835,.17840153,.073739298,.0061845863,.0014272121,131.10323,.23076923,.33333334,.16774194,.029019982,.3114754
01840,.14322087,.036919158,.012730745,.00095480587,225.1826,.025,0,.10344828,.027371101,.12790698
01841,.10404157,.016743649,.0049653579,.00092378753,260.71725,.11627907,0,.096551724,.010161662,.19318181
01843,.1296034,.024551464,.0035410766,.0011803588,234.24039,.40000001,0,.24038461,.011803588,.2
01844,.13714927,.04433221,.0065095397,.0067340066,276.50128,.24137931,.06666667,.18227848,.013692481,.23770492
01845,.2083165,.046023417,.01110214,.006863141,239.0636,.27272728,.05882353,.21052632,.02220428,.28181818
01850,.13515797,.024666328,.0048994762,.0021963168,243.17606,.10344828,.15384616,.15753424,.0062510557,.10810811
01851,.16191904,.045539729,.0063718143,.0020614692,232.30864,.35294119,0,.22222222,.0091829086,.22448979
01852,.16856469,.047221676,.0084429607,.0018653054,231.09395,.39534885,.21052632,.29521829,.025328882,.14728682
01854,.16469505,.03824921,.0061777076,.0021030493,180.02097,.21276596,.0625,.209622,.022213459,.147929
01860,.16007905,.043478262,.013833992,.0019762847,162.95454,.5714286,0,.31818181,.0079051387,.5
01862,.22395833,.10300926,.0098379627,.045138888,211.78708,.29411766,.051282052,.19101124,.021412037,.21621622
01863,.18280871,.15012106,.0072639226,.092009686,293.94354,.16666667,.013157895,.080645159,.019370461,.3125
01864,.19883609,.044131912,.011639185,.0067895246,330.36264,.29166666,.21428572,.25274727,.022308439,.17391305
01867,.24524716,.071863115,.023954373,.00608365,293.36774,.2857143,0,.2857143,.018631179,.30612245
01876,.15949467,.0457955,.007106198,.0025661271,267.54349,.27777779,.30769232,.18103448,.029016975,.1632653
01879,.1787774,.046712805,.012110727,.0017301039,182.97531,.2857143,0,.19753087,.017301038,.16666667
01880,.19988362,.056735527,.011638056,.0011638056,218.56477,.2,0,.23076923,.025894675,.26966292
